/home/kyle/Documents/data/qref/OEMMA.mzTree /home/kyle/Documents/data/qref/OEMMA.mz5 /home/kyle/Documents/data/qref/OEMMA.mzDB /home/kyle/Documents/data/qref/OEMMA.mzML queries/OEMMA_wide_random.csv
points,mz5,mzML,mzdb,mzTree,mzTree-batched,mzTree-summ
42154294,4.416661438997835,17.332636672988883,6.287484699001652,15.59,15.786,0.217
2696482,0.7729910249909153,4.3238771420001285,0.571119300002465,0.36,0.905,0.59
1776739,0.9987569309887476,4.28551722499833,0.7298656609928003,0.244,0.097,0.285
2896930,0.770379405003041,4.22017777300789,0.6075498739955947,0.371,0.777,0.263
244586,0.5191144999989774,4.094857174000936,0.42377802400733344,0.057,0.017,0.14
11120913,1.0270207969879266,4.484942270006286,0.8645607920043403,2.474,2.798,0.015
24729112,3.244397526999819,7.1309119570069015,1.91997283299861,6.363,2.875,0.002
1472623,0.8034058890043525,4.14463809299923,0.583795074999216,0.22,0.098,0.041
8776412,1.3915489180071745,4.586544079997111,0.9032228009891696,2.492,0.741,0.05
9471685,1.560692556988215,5.241487028994015,0.9878161770029692,2.349,0.807,0.014
62400,0.49814516500919126,3.7159655730065424,0.4568301419931231,0.032,0.041,0.538
3601,0.4833211890072562,3.6130678680056008,0.4137940520013217,0.013,0.001,0.032
1672891,0.6486455760023091,4.061576863998198,0.5711832810047781,0.215,0.064,0.016
48860,0.49714547699841205,3.7137480870005675,0.48973888700129464,0.022,0.011,0.306
62858,0.46070091900764965,3.5806471180112567,0.40219727699877694,0.034,0.034,0.451
4015252,0.8797743360046297,4.211753326002508,0.6579454159946181,0.462,0.488,0.038
19970,0.47143325400247704,3.813225384001271,0.39569336400018074,0.015,0.004,0.031
1155288,1.029292188002728,4.37089037700207,0.7464516059990274,0.206,0.097,0.026
174493,0.6602173419960309,3.9300256469869055,0.5468439280084567,0.059,0.012,0.065
6095258,0.7084821259923046,4.225993868007208,0.5515576239995426,1.766,0.78,0.003
906407,0.8489431549969595,4.083711858998868,0.6835463079914916,0.112,0.052,0.057
303779,0.5546410620008828,3.950078517998918,0.46002158099145163,0.059,0.015,0.014
9400686,1.7634406629949808,4.997313172993017,1.0413472759973956,2.383,0.768,0.023
8120754,1.2722428269917145,4.635122214007424,0.8564197410014458,2.088,0.32,0.012
19105,0.5092940500035184,3.8654296700115083,0.46976244199322537,0.015,0.001,0.031
6803,0.47612515499349684,3.7754029759962577,0.42164572099864017,0.014,0.001,0.047
6590908,1.9826050999981817,5.330580358000589,1.2428426100086654,1.924,0.776,0.008
26093,0.5223537929996382,3.9162449720024597,0.4048553120082943,0.015,0.008,0.062
5069310,1.7645978369982913,5.064181156994891,1.1737701740057673,1.142,0.35,0.097
1509110,1.3918053539964603,4.658537999988766,0.9862843709997833,0.209,0.051,0.008
2976041,0.8333492549863877,4.202543217004859,0.6428835859987885,0.376,0.471,0.011
544469,0.5433947389974492,3.897583730009501,0.46720537400688045,0.071,0.047,0.031
2281831,0.6844353430060437,4.2194211130117765,0.5478535589936655,0.255,0.086,0.06
93445,0.5290933290089015,3.693892979004886,0.45825035899179056,0.033,0.006,0.015
43004131,1.9911601540079573,5.339770930004306,1.195847038005013,15.41,11.975,0.005
4069194,0.9268996390019311,4.2166770530020585,0.69463697799074,0.438,0.152,0.024
5758214,1.0798171019996516,4.406207114996505,0.7778248269896721,1.702,0.601,0.021
56572,0.5257401559938444,3.705775704002008,0.4567442239931552,0.023,0.004,0.05
1307540,0.5735515429987572,3.9417668789974414,0.4775111439957982,0.133,0.073,0.606
192165,0.5384459180058911,3.984746443005861,0.48880553799972404,0.043,0.011,0.014
22314735,1.2896502770017833,4.671842379990267,0.9127468480000971,5.716,1.164,0.005
371437,0.6104687259939965,3.8794244570017327,0.5015554099954898,0.046,0.013,0.037
14320138,0.9262630799930776,4.241605691000586,0.7053865519992542,5.02,0.672,0.006
59067,0.525756460003322,3.985852286001318,0.41848664700228255,0.025,0.003,0.136
11019603,1.1954131989914458,4.449542050992022,0.8651765459944727,2.935,0.624,0.008
3548178,1.148628273003851,4.3551226960116765,0.7739198929921258,0.449,0.128,0.033
8771683,1.9159060640085954,5.334134863995132,1.1568118019931717,2.625,0.306,0.013
944801,1.0556384149967926,4.268388291995507,0.8063584210030967,0.118,0.039,0.029
1283627,0.6019974560040282,3.9933810049988097,0.4879936869983794,0.119,0.249,0.155
636869,0.5318987630016636,3.9688280779955676,0.4459008990088478,0.085,0.046,0.112
184996,0.5639791519934079,3.7467265609884635,0.49316929999622516,0.051,0.012,0.042
894395,0.7208196599967778,4.11914776499907,0.5832887849974213,0.103,0.031,0.022
1427856,0.5287757710029837,3.718620394996833,0.5046319109969772,0.223,0.122,0.114
5124146,1.6030295590026071,4.886518309998792,1.0431574380054371,1.469,0.186,0.006
22351,0.51200134800456,3.8963315860019065,0.42477018700446934,0.025,0.004,0.092
5317665,0.8158908170007635,4.307729508000193,0.5955689900001744,1.512,0.177,0.003
760524,1.2259508470015135,4.457828040001914,0.8461832279863302,0.107,0.031,0.092
980315,0.6524367009988055,4.036023693988682,0.4854592269985005,0.105,0.054,0.01
33413,0.5357150110066868,3.924086394996266,0.4331658419978339,0.017,0.008,0.038
1641081,0.9576730580010917,4.180707024002913,0.7076335510064382,0.243,0.238,0.018
3506030,0.7102635360060958,4.144297309991089,0.5904494079877622,0.397,0.119,0.012
465568,0.9838064219948137,4.136735113002942,0.6886346969986334,0.084,0.022,0.025
696841,0.9480637420056155,4.241946673995699,0.7051083160040434,0.096,0.027,0.064
9401804,0.8492197580053471,4.173677523009246,0.6204673270112835,2.548,0.326,0.01
307575,0.5064604320068611,3.8495014539948897,0.43792324999230914,0.055,0.014,0.08
781384,0.864137816010043,4.1254791599931195,0.6505118750064867,0.107,0.041,0.05
5040717,0.6795047979976516,4.082099987994297,0.5348368370032404,1.359,0.388,0.025
129123,0.5002487930032657,3.7511640779994195,0.44142920000012964,0.043,0.011,0.026
921904,0.5780343130027177,3.9691050309920684,0.4896748120081611,0.111,0.053,0.028
1502693,0.7606483880081214,4.056422642999678,0.5961779040080728,0.22,0.067,0.012
1462624,0.8659850849944633,4.136178885004483,0.6464330000017071,0.215,0.058,0.016
34115821,4.574576355997124,7.890894426993327,2.480631665996043,8.181,1.754,0.004
1836722,1.1877295640006196,4.454789242998231,0.8181202519917861,0.26,0.08,0.041
6761186,1.115171381010441,4.476992705007433,0.7793101129936986,2.481,0.43,0.021
221751,0.6358464850054588,3.7133273689978523,0.47022080299211666,0.043,0.012,0.022
789295,0.49058711099496577,3.655883425992215,0.4036503620009171,0.132,0.046,1.373
662780,0.5207194679969689,3.719621404001373,0.4001359499961836,0.07,0.038,0.012
32114621,2.2877962499915157,5.399554566000006,1.3520295650087064,6.756,1.463,0.003
3517173,0.807455949994619,3.9999299440096365,0.6060494359990116,0.399,0.128,0.015
35144,0.4802697859995533,3.6800357439933578,0.3796296210057335,0.026,0.005,0.091
42307194,3.588775629992597,6.775477051996859,1.9811541749950266,13.688,2.4,0.004
15551900,1.7532168430043384,4.960432028994546,1.0555787250050344,4.499,0.983,0.009
5059687,0.7876639980095206,3.937486302005709,0.5688355080055771,1.224,0.183,0.017
12678558,1.935116114007542,5.158723739004927,1.131860448003863,4.423,0.446,0.016
13419912,1.285249066000688,4.436104042004445,0.8163450090069091,4.517,0.589,0.008
5095568,0.9209874219959602,4.0560301009973045,0.6497912489867304,1.364,0.176,0.016
70361,0.4954647529957583,3.511365538011887,0.40174170400132425,0.025,0.004,0.048
24681,0.44316047000756953,3.4194623499934096,0.3788763329939684,0.015,0.005,0.012
6106285,1.145252073998563,4.291094020998571,0.7449966179992771,1.515,0.222,0.009
1857271,0.5847524349956075,3.7870899609988555,0.4548230939981295,0.215,0.069,0.01
2524812,0.9349249660008354,3.9532130480074557,0.6769006310059922,0.295,0.089,0.008
2778528,1.5894732890010346,4.679229025001405,0.9640448499994818,0.347,0.21,0.012
2116058,0.4990776740014553,3.6252829209988704,0.40993366899783723,0.24,0.08,0.023
71759,0.4682417220028583,3.5578512610081816,0.4020608289865777,0.029,0.006,0.143
1421806,0.8615324230049737,3.882564030995127,0.6281147050030995,0.199,0.069,0.189
4104846,1.8395695200015325,4.960476633001235,1.1116997799981618,0.431,0.149,0.019
9057230,0.8689675499917939,4.000701246986864,0.6281883100018604,2.076,0.315,0.007
40755567,2.6122768860077485,5.707839801994851,1.4277784869918833,13.556,2.15,0.004
6348592,1.4754425569990417,4.630853761991602,0.9174690859945258,1.62,0.227,0.026
4625583,0.8067544240038842,3.9793526269932045,0.5883423119958024,0.435,0.21,0.091
570791038,104.31438062102825,442.35757884496707,76.28078405591077,155.07800000000003,59.971999999999994,7.890999999999998
